id,proxy_address,ilk,collateral_amount,collateral_value_usd,debt_value
883,0x2ae8F9DeA9012ebD302226c54927632bFB18e558,ETH-A,0.9,156.4154999999999999999955,65.02064541694523547899006425067378220247613898
48,0x83c6aB800D004A1f3F0FE67F4F1D460784fDb17D,ETH-A,100,17379.4999999999999999995,10097.49983074156290445442736347998656603308722131
490,0xfb030B904f581e31eC5BeC1218F4884b90743DF8,ETH-A,0.3,52.1384999999999999999985,20.084484464473451784566955110007972738738776545
791,0x864e94D9B366ed9c0F68d84fCcFDBA110A8FA565,ETH-A,0.55,95.58724999999999999999725,40.036222422148009928579418944575148705354552155
139,0x32dC5A3a9eDa515aDF5016267DE07C50deA77eFC,BAT-A,681.815215008180240638,157.57215489539156150879910740144090120319,95.047595018372158620370492767903459878275286496
63,0x853c9B9340c787c859F2916155590818Bd3d9b41,ETH-A,0.24,41.7107999999999999999988,20.193901212277759415039996227131458160013635545
525,0x3DaeEE0A201aa224f7EAf73d5a451dE36EfFE417,ETH-A,0,0,0
230,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.570747429,99.193049423054999999997146262855,30.25669052575976301498779931649007218739308837
229,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0,0,0
228,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0,0,0
223,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.294244769425654052,51.13826970233154596733852877615287172974,24.514857463093622512059006566117530062674718345
222,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.92604593276282968,160.9421528845159842355953697703361858516,93.249241406254674234200490847382862999664546715
221,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.581419796955930407,101.047853611955925084562092901015220347965,63.701581621187476701567889611422314124905328645
194,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.3207729552,55.748735748983999999998396135224,22.306229392334263214550290426223271305791700985
182,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,1.017110043729998546,176.76864005005509730206491444978135000727,62.151909211790566465157964057980042290469939605
114,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,1.476577373165653893,256.621764569324818333927617113134171730535,142.204682414716878118887633141616272296023182355
113,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,0.190370842343302047,33.085500545054179258364048145788283489765,21.34205028941689699328538708474737051321455238
112,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,1.61,279.80994999999999999999195,111.036665762964340507473049889846863381783696515
104,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,BAT-A,961.003923319841208481,222.094573026822563095773428593399206042405,128.631992407765353674022629072977106644567317204
44,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,3.169013494404464771,550.758700260023954875929154932527977676145,335.87945743973563990700629054404042971494387827
42,0x7d0dC31161C2b727e60BD8c211FD6772B9936691,ETH-A,19.754399554832452211,3433.215870632106032010646228002225837738945,2096.631855343848420286412989651441749187569528655
502,0xc4783b8d11Ea3F08E40054C478F7BDDC4A168e5c,ETH-A,0,0,0
500,0xc4783b8d11Ea3F08E40054C478F7BDDC4A168e5c,ETH-A,0,0,0
482,0xc4783b8d11Ea3F08E40054C478F7BDDC4A168e5c,ETH-A,0,0,0
478,0xc4783b8d11Ea3F08E40054C478F7BDDC4A168e5c,ETH-A,0,0,0
143,0xFd8ffAC3427581Cb438DC1a525de9B9aA4B98354,ETH-A,0.726,126.17516999999999999999637,39.306623448146263236954907893099581080961242985
35,0xFd8ffAC3427581Cb438DC1a525de9B9aA4B98354,ETH-A,0,0,0
43,0x77D4B5C23F04c253F050B6B17A7285FfCc45a8A2,ETH-A,0,0,0
404,0x9536E90E9e7487E41d2Dd1E9A39d42f71038fB1f,ETH-A,0,0,0
282,0x9536E90E9e7487E41d2Dd1E9A39d42f71038fB1f,ETH-A,0.2,34.758999999999999999999,20.155003504870938373824100212602439760698053775
886,0x0e6e2D35ae3F042f940E9a528eD8Fb7920D459bd,ETH-A,0.95,165.10524999999999999999525,110.02497957495048380321899762789918318943236561
461,0x96AE4D0c8BB3439FdffC34b1923b0DD15044560c,ETH-A,0,0,0
384,0x463A406f3e43A012E992Ef94A96Ef3e04D0A5574,ETH-A,500,86897.4999999999999999975,57964.00407084924932792964206917117115771366893449
76,0xD0bf0b956f570CdfC0e06f032BfAa0Dc206C56c7,ETH-A,1.136073757962370294,197.44393876507014524572431963121018814853,121.982459481411187830917122027979268540774446725
820,0x0ccb5f5A67C30079bAAff4F2AcCFd8A1E4f37F56,ETH-A,0.3137951999353819,54.5360367727696973104984310240003230905,20.015637683667387040808405308213698579980005125
659,0x175Ad7954ae3A58F882b1b15e9BCD87d2fe88DdA,ETH-A,0.2,34.758999999999999999999,20.06709448430060612228926038309781928933331543
17,0xA9fCcB07DD3f774d5b9d02e99DE1a27f47F91189,ETH-A,1,173.794999999999999999995,0
427,0x59725a02ab5D2e7E4c8B10152662f8DA0015D534,ETH-A,100,17379.4999999999999999995,10060.34474517300740598548947601505856615914025892
